symbol,name,current_price
RELIANCE.NS,Reliance Industries Ltd,
TCS.NS,Tata Consultancy Services Ltd,
INFY.NS,Infosys Ltd,
HDFCBANK.NS,HDFC Bank Ltd,
ICICIBANK.NS,ICICI Bank Ltd,
HINDUNILVR.NS,Hindustan Unilever Ltd,
ITC.NS,ITC Ltd,
SBIN.NS,State Bank of India,
BHARTIARTL.NS,Bharti Airtel Ltd,
BAJFINANCE.NS,Bajaj Finance Ltd,
ASIANPAINT.NS,Asian Paints Ltd,
MARUTI.NS,Maruti Suzuki India Ltd,
WIPRO.NS,Wipro Ltd,
AXISBANK.NS,Axis Bank Ltd,
TITAN.NS,Titan Company Ltd,
ULTRACEMCO.NS,UltraTech Cement Ltd,
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd,
NESTLEIND.NS,Nestle India Ltd,
TATAMOTORS.NS,Tata Motors Ltd,
M&M.NS,Mahindra & Mahindra Ltd,
